Date,Open,High,Low,Close,EMA20,EMA50,RSI14,ROC3
2025-03-28,39.0,41.939998626708984,37.459999084472656,40.0,,,,
2025-03-31,38.4900016784668,38.4900016784668,36.0,37.08000183105469,,,0.0,
2025-04-01,38.5,53.27000045776367,37.20000076293945,52.56999969482422,,,28.980365540242044,
2025-04-02,55.90999984741211,64.62000274658203,51.400001525878906,61.36000061035156,,,39.665747297723094,53.400001525878906
2025-04-03,55.38999938964844,57.645999908447266,48.2599983215332,53.79999923706055,,,34.81414707461105,45.09168441303252
2025-04-04,49.599998474121094,51.0,43.5099983215332,47.81999969482422,,,31.52907737374311,-9.035571671246673
2025-04-07,43.8849983215332,52.0,42.15999984741211,49.849998474121094,,,33.81228561047055,-18.758151925912312
2025-04-08,54.14500045776367,54.79999923706055,42.36000061035156,43.61000061035156,,,30.450938429960747,-18.940518162107193
2025-04-09,43.724998474121094,49.880001068115234,39.12099838256836,48.77000045776367,,,36.10733412279117,1.9866180865791099
2025-04-10,46.900001525878906,47.0,41.84400177001953,42.20000076293945,,,32.484675690801474,-15.346033992665067
2025-04-11,42.5,44.880001068115234,41.02000045776367,43.75,,,34.162913063006634,0.3210258832585439
2025-04-14,46.79499816894531,46.849998474121094,42.400001525878906,43.61000061035156,,,34.080511305813104,-10.58027434689247
2025-04-15,43.560001373291016,44.7400016784668,40.0,40.779998779296875,,,32.38028213411254,-3.364933549692352
2025-04-16,40.165000915527344,40.84000015258789,38.26399993896485,40.72999954223633,,,32.34957556514206,-6.902858189174107
2025-04-17,41.04999923706055,41.630001068115234,38.349998474121094,39.09000015258789,,,31.30106042109322,-10.364596180929139
2025-04-21,38.619998931884766,38.63899993896485,33.51499938964844,35.415000915527344,,,29.030374781704776,-13.155953958716704
2025-04-22,36.97999954223633,39.61000061035156,36.0,38.5099983215332,,,33.411492880116626,-5.450530924757367
2025-04-23,42.07500076293945,43.948001861572266,40.15999984741211,41.619998931884766,,,37.581264625637104,6.472240392481504
2025-04-24,42.54999923706055,43.5,38.79999923706055,41.77000045776367,,,37.78363062879347,17.94437209643003
2025-04-25,41.95000076293945,44.36000061035156,40.900001525878906,41.540000915527344,44.19375,,37.58243272318893,7.868093290203776
2025-04-28,42.0099983215332,43.33000183105469,39.779998779296875,42.02000045776367,43.986726234072734,,38.32060613898874,0.961080096454467
2025-04-29,42.20500183105469,46.45000076293945,41.0099983215332,42.81999969482422,43.87560942081097,,39.602649988704435,2.5137640065919284
2025-04-30,41.0,41.5099983215332,39.5,41.29999923706055,43.630313212834736,,37.987038086512285,-0.5777604072634626
2025-05-01,47.025001525878906,48.349998474121094,44.029998779296875,44.31999969482422,43.69599763969088,,42.96553394341986,5.4735821323285965
2025-05-02,46.93899917602539,51.81999969482422,45.79999923706055,51.56999969482422,44.44590259732263,,52.768604597887794,20.434376605232995
2025-05-05,50.42900085449219,52.779998779296875,49.70000076293945,51.0099983215332,45.07105457105697,,52.02477959866298,23.51089410132335
2025-05-06,49.36000061035156,54.832000732421875,49.06100082397461,54.29499816894531,45.94952538990348,,55.94757722752467,22.50676566517665
2025-05-07,54.90999984741211,54.90999984741211,51.400001525878906,53.599998474121094,46.67814187411468,,54.92433679955923,3.9363947863288704
2025-05-08,54.709999084472656,55.70000076293945,52.77000045776367,55.0,47.470699790865666,,56.64449821445321,7.821999234966588
2025-05-09,55.959999084472656,56.81999969482422,50.18000030517578,51.369998931884766,47.842061613819865,,51.189769256954825,-5.387235170280448
2025-05-12,54.29999923706055,59.439998626708984,52.900001525878906,58.4900016784668,48.85615114378624,,59.44008500094161,9.12314056633168
2025-05-13,57.599998474121094,64.87000274658203,57.31999969482422,63.2599983215332,50.22794611309548,,63.84873664098884,15.018178766424006
2025-05-14,66.0,68.5,64.0,67.45999908447266,51.8690940151314,,67.22662924446287,31.321784090209537
2025-05-15,68.87000274658203,72.97000122070312,61.33000183105469,65.7699966430664,53.19298950350616,,64.61056419854815,12.446563097432348
2025-05-16,68.07499694824219,84.0,67.55000305175781,80.30000305175781,55.77460984143489,,73.98419156996191,26.9364609268798
2025-05-19,76.9000015258789,88.9000015258789,76.08000183105469,86.58999633789062,58.70940855538306,,76.84358801691903,28.35754152540619
2025-05-20,89.66999816894531,96.3499984741211,83.30500030517578,90.23999786376952,61.71232182284844,,78.3318725748334,37.205416557190574
2025-05-21,89.45999908447266,109.48999786376952,89.30000305175781,107.38999938964844,66.06257682921034,,83.6493488519874,33.73598419470746
2025-05-22,112.13999938964844,116.53900146484376,99.51000213623048,100.16000366210938,69.30995081329597,,75.2638453523839,15.671564728177147
2025-05-23,98.0,106.79000091552734,97.0999984741211,102.73999786376952,72.49376481810297,,76.18143304755316,13.851950682523928
2025-05-27,109.26799774169922,125.0199966430664,107.9749984741211,123.97000122070312,77.39626352311251,,82.07410493630357,15.439055708433937
2025-05-28,123.75,123.75,113.0,116.1500015258789,81.08709571385216,,74.73932391222151,15.964454152489775
2025-05-29,123.5,130.75999450683594,105.52999877929688,105.5500030517578,83.41689641270032,,66.11430274306993,2.735064479672535
2025-05-30,109.0,111.9499969482422,104.9000015258789,111.30999755859376,86.07338223611875,,68.25792042474981,-10.21215095381892
2025-06-02,116.29499816894533,123.66000366210938,114.0,120.1999969482422,89.32353601822574,,71.27794677446042,3.486866439223363
2025-06-03,125.3000030517578,150.8800048828125,124.6999969482422,150.47999572753906,95.14796075244605,,78.70849075535462,42.5674953829696
2025-06-04,155.875,166.6300048828125,144.3000030517578,163.10000610351562,101.61958411921458,,80.92357687273615,46.52772408665224
2025-06-05,156.0,157.4600067138672,132.8000030517578,135.0500030517578,104.80343354136156,,64.78942389909284,12.354414709269905
2025-06-06,144.92999267578125,148.7899932861328,138.58999633789062,140.16000366210938,108.17072593381373,,66.11484329204313,-6.8580491483500525
2025-06-09,147.8000030517578,163.2899932861328,144.13699340820312,162.10000610351562,113.30684785473771,70.43300003051758,71.13829839444492,-0.6131207618504466
