Date,Open,High,Low,Close,EMA20,EMA50,RSI14,ROC3
2020-12-09,182.0,195.5,163.8000030517578,189.5099945068359,,,,
2020-12-10,179.7100067138672,187.69500732421875,172.63600158691406,186.0,,,0.0,
2020-12-11,176.52000427246094,182.0,168.25,175.0,,,0.0,
2020-12-14,169.10000610351562,170.0,151.1999969482422,160.0,,,0.0,-15.5717351919249
2020-12-15,157.10000610351562,161.4199981689453,153.75999450683594,158.88999938964844,,,0.0,-14.575269145350303
2020-12-16,161.17999267578125,167.47000122070312,157.1999969482422,158.0500030517578,,,0.0,-9.685712541852679
2020-12-17,159.10000610351562,161.66000366210938,149.9499969482422,154.2100067138672,,,0.0,-3.618745803833008
2020-12-18,154.2100067138672,169.9499969482422,147.32000732421875,166.35000610351562,,,17.967658597206245,4.695076305949814
2020-12-21,169.07000732421875,173.4600067138672,155.0,160.22999572753906,,,16.370756093034633,1.3793056840798361
2020-12-22,161.0500030517578,163.2100067138672,153.4219970703125,156.7899932861328,,,15.534981926774309,1.673034472433897
2020-12-23,155.0,161.55999755859375,150.25,158.22000122070312,,,17.42230963782134,-4.887288599047837
2020-12-24,157.3800048828125,158.60000610351562,153.07000732421875,158.4600067138672,,,17.754471792733415,-1.1046552211619782
2020-12-28,158.25,158.4499969482422,141.5050048828125,147.88999938964844,,,14.909987792848657,-5.6763787726187305
2020-12-29,146.1199951171875,147.39999389648438,139.63999938964844,141.27000427246094,,,13.4559455487489,-10.712929349936243
2020-12-30,144.39999389648438,147.97999572753906,139.8000030517578,140.1999969482422,,,13.231341602182754,-11.52341852326012
2020-12-31,140.1999969482422,146.5,135.3800048828125,142.75,,,16.79574879735945,-3.4755557582402776
2021-01-04,142.5,143.6199951171875,137.1699981689453,139.19000244140625,,,15.818757954101894,-1.472359147836567
2021-01-05,138.0,146.1199951171875,137.8350067138672,144.42999267578125,,,22.925451270879087,3.0171154205521526
2021-01-06,141.27000427246094,142.0,138.2100067138672,140.00999450683594,,,21.292562959366364,-1.919443427785683
2021-01-07,140.0,154.63999938964844,139.43499755859375,152.77000427246094,156.51100006103516,,35.561661084159894,9.756449165069421
2021-01-08,152.0,158.30999755859375,147.3000030517578,156.08999633789062,156.47090446835472,,38.67679226823389,8.073117948765626
2021-01-11,153.19000244140625,169.0,153.19000244140625,167.0,157.47367547136855,,47.63543183575545,19.277199165839754
2021-01-12,165.5,201.92999267578125,162.61500549316406,191.9900054931641,160.76094499725383,,61.50698914898809,25.672579776037317
2021-01-13,192.41000366210935,215.5,188.07000732421875,198.0,164.30752166418205,,63.97839015466674,26.849897267846742
2021-01-14,196.6199951171875,221.3999938964844,195.3300018310547,207.2400054931641,168.39632964789462,,67.43964304940776,24.095811672553346
2021-01-15,207.0,212.08999633789065,186.9499969482422,187.1499938964844,170.18239290966508,,55.05322764015393,-2.5209706016972944
2021-01-19,191.19000244140625,202.3000030517578,185.5399932861328,198.75,172.9031173944589,,59.660306878303984,0.3787878787878788
2021-01-20,200.0,203.82000732421875,189.0399932861328,189.4600067138672,174.4799639963073,,54.81451648309866,-8.579424005025604
2021-01-21,191.61000061035156,195.4739990234375,183.1929931640625,190.88999938964844,176.04282450995885,,55.41482255701334,1.9984000080879991
2021-01-22,190.1999969482422,197.07000732421875,187.11000061035156,192.0,177.5625555090104,,55.904535757515816,-3.3962264150943398
2021-01-25,194.3300018310547,215.38999938964844,191.30999755859375,191.80999755859375,178.91945475182786,,55.79157162955169,1.2403624836114604
2021-01-26,198.0,204.3800048828125,196.41000366210935,198.22000122070312,180.75760203457787,,58.81510814707064,3.8399087718013676
2021-01-27,200.0,256.0899963378906,190.3999938964844,193.07000732421875,181.93021206216272,,55.52913385126121,0.5572954813639323
2021-01-28,198.9900054931641,201.5,183.47999572753903,183.8000030517578,182.1082873945051,,50.102927925538005,-4.176004696725498
2021-01-29,189.3999938964844,194.9900054931641,183.47999572753903,193.27000427246097,183.17130804954851,,54.94642874791308,-2.497223750256518
2021-02-01,194.58999633789065,203.6699981689453,187.56300354003903,191.1699981689453,183.93308806091963,,53.70155199177549,-0.9841037360519641
2021-02-02,191.9499969482422,197.6000061035156,181.6300048828125,182.52999877929688,183.7994605102889,,48.80255384794388,-0.6909707570044523
2021-02-03,184.66000366210935,186.66000366210935,178.3260040283203,180.5800018310547,183.4928453979809,,47.74392563002528,-6.56594513420543
2021-02-04,181.3800048828125,191.8769989013672,180.6499938964844,189.3300018310547,184.04876505827363,,52.70189110506171,-0.96249220877459
2021-02-05,189.57000732421875,190.91600036621097,180.2449951171875,181.22999572753903,183.7803108362989,,48.147767169656504,-0.7122133679131385
2021-02-08,183.4499969482422,185.4900054931641,174.2100067138672,177.42999267578125,183.17551863053532,,46.133672158773244,-1.744384274744051
2021-02-09,177.7100067138672,192.27999877929688,177.60000610351562,187.75,183.6111835228653,,52.005532564752265,-0.8345226935900917
2021-02-10,190.66000366210935,215.67999267578125,190.0,215.16000366210935,186.61583305993616,,63.41319396006403,18.722070702678074
2021-02-11,208.5,222.0,208.5,213.2599945068359,189.1533722453552,,62.307644787898525,20.19388114191438
2021-02-12,213.02999877929688,213.5399932861328,202.5099945068359,202.97000122070312,190.4692416715788,,56.55685169119915,8.106525283996339
2021-02-16,205.6000061035156,226.47000122070312,205.0,212.1699981689453,192.5359803856137,,60.10245283971959,-1.3896660356353152
2021-02-17,213.82000732421875,213.82000732421875,194.08999633789065,197.8699951171875,193.04398178862073,,52.87841301651127,-7.216543086403903
2021-02-18,194.3000030517578,201.41000366210935,188.91000366210935,200.05999755859375,193.7121737667134,,53.79437187200487,-1.433711210823283
2021-02-19,200.07000732421875,209.16000366210935,199.22999572753903,205.97000122070312,194.8795859051886,,56.26503037532064,-2.9221836271616946
2021-02-22,198.0,201.9900054931641,176.36000061035156,178.07000732421875,193.27867365938195,177.6902001953125,44.2389588705947,-10.00656404789534
2021-02-23,175.9600067138672,185.4600067138672,165.5500030517578,173.5,191.39499045372654,177.52587861902575,42.63159473439715,-13.276016136516663
2021-02-24,174.36000061035156,180.5500030517578,173.52000427246094,176.32000732421875,189.9592777747258,177.47858954864117,43.98409925040791,-14.39529723783101
2021-02-25,174.41000366210938,182.55499267578125,163.72999572753906,166.8699951171875,187.76029847400787,177.06256623760376,40.53531288698363,-6.289667965610271
2021-02-26,155.5,172.97000122070312,155.02000427246094,169.49000549316406,186.02027057107037,176.76560307115514,41.89561332097034,-2.3112360269947767
2021-03-01,171.44000244140625,173.7899932861328,164.1999969482422,168.88999938964844,184.3888161728397,176.4567558679588,41.66057520306758,-4.213933544653245
2021-03-02,168.0,170.8000030517578,155.22000122070312,160.58999633789062,182.12226190284457,175.83453000403458,38.44733455515262,-3.763408020049759
2021-03-03,156.69000244140625,161.33999633789062,144.55999755859375,148.25,178.89633219781174,174.75278372936657,34.221274777627876,-12.531715620258638
