Date,Open,High,Low,Close,EMA20,EMA50,RSI14,ROC3
2017-10-20,16.25,16.989999771118164,14.0,16.260000228881836,,,,
2017-10-23,16.100000381469727,16.39900016784668,15.119999885559082,15.260000228881836,,,0.0,
2017-10-24,15.399999618530272,15.859999656677246,14.770000457763672,15.239999771118164,,,0.0,
2017-10-25,15.100000381469728,15.43000030517578,13.619999885559082,13.729999542236328,,,0.0,-15.559659600444485
2017-10-26,13.81999969482422,14.15999984741211,13.8100004196167,14.020000457763672,,,2.2448370777466256,-8.125817513234887
2017-10-27,14.050000190734863,14.130000114440918,13.800000190734863,14.010000228881836,,,2.2429672439179686,-8.070863259245854
2017-10-30,13.979999542236328,14.199999809265137,13.979999542236328,14.100000381469728,,,3.0258418261830338,2.6948350442052154
2017-10-31,14.109999656677246,15.104999542236328,14.09000015258789,15.079999923706056,,,11.350874528900471,7.56062361863478
2017-11-01,15.329999923706056,15.489999771118164,15.1899995803833,15.43000030517578,,,14.184377140193074,10.135617795113173
2017-11-02,15.270000457763672,15.5,14.899999618530272,15.239999771118164,,,13.924187493426302,8.085101835505105
2017-11-03,15.279999732971191,15.390000343322754,14.899999618530272,14.989999771118164,,,13.571430811529476,-0.5968179910028407
2017-11-06,15.010000228881836,15.010000228881836,14.890000343322754,15.010000228881836,,,13.759665832809791,-2.7219706285622065
2017-11-07,15.0,15.09000015258789,14.90999984741211,15.0,,,13.743548370360504,-1.57480167140813
2017-11-08,15.0,15.0,14.720000267028809,14.84000015258789,,,13.471651670100211,-1.0006645818586584
2017-11-09,14.859999656677246,14.949999809265137,14.470000267028809,14.5,,,12.888152869992446,-3.3977363164892385
2017-11-10,14.520000457763672,14.84000015258789,14.5,14.720000267028809,,,15.440332102173295,-1.8666648864746094
2017-11-13,14.56999969482422,14.75,14.479999542236328,14.729999542236328,,,15.561421148813189,-0.7412439974428162
2017-11-14,14.850000381469728,15.050000190734863,14.821999549865724,15.010000228881836,,,19.05682287597199,3.517242957805765
2017-11-15,15.0,15.0,14.600000381469728,14.710000038146973,,,18.188082102736967,-0.0679363362800703
2017-11-16,15.229999542236328,15.25,14.960000038146973,15.029999732971191,14.845500040054322,,22.259090885514976,2.036661235967132
2017-11-17,15.0,15.619999885559082,15.0,15.0,14.86021432195391,,22.147823208306637,-0.06662377567852243
2017-11-20,15.460000038146973,15.59000015258789,15.149999618530272,15.489999771118164,14.920193888540982,,28.4399225742971,5.302513466678743
